,id,questions
0,16a94310-cea8-435f-90e8-10f8b02b7bfe,Easy white bread rolls for sandwiches or burger buns that are ready in 60 minutes — do you have a recipe?
0,16a94310-cea8-435f-90e8-10f8b02b7bfe,Simple homemade rolls using strong white bread flour and a 7g sachet of fast-action yeast — how do I make them?
0,16a94310-cea8-435f-90e8-10f8b02b7bfe,Beginner-friendly bread rolls (easy) made with sunflower oil — good for dunking in soup?
0,16a94310-cea8-435f-90e8-10f8b02b7bfe,Quick roll recipe with about 246 kcal per serving — any easy white bread roll ideas?
0,16a94310-cea8-435f-90e8-10f8b02b7bfe,"Where can I find a simple soft roll recipe using only flour, yeast, sugar, salt and sunflower oil (30 min prep, 30 min bake)?"
1,5edaf257-7a3b-4878-bf3c-99922f319e7a,"Easy pizza rolls made with crusty bread rolls, ham and mozzarella — ready in about 30 minutes?"
1,5edaf257-7a3b-4878-bf3c-99922f319e7a,Quick snack for kids: pizza-style rolls using tomato purée and sliced tomatoes (serves 6)?
1,5edaf257-7a3b-4878-bf3c-99922f319e7a,Can I make these pizza rolls with black olives and dried oregano for extra flavor — low prep?
1,5edaf257-7a3b-4878-bf3c-99922f319e7a,"Simple, kid-friendly bread roll pizza that's only 275 kcal per portion and rated 4 stars?"
1,5edaf257-7a3b-4878-bf3c-99922f319e7a,Crowd-friendly pizza roll recipe that can be doubled to feed a group of kids—easy to make?
2,aa999c11-f8c0-40c5-8239-732339e3cd57,Easy focaccia rolls with roasted peppers and camembert — a quick 40-minute Italian bread roll recipe?
2,aa999c11-f8c0-40c5-8239-732339e3cd57,Looking for focaccia rolls with black olives and oregano served with rocket — around 240 kcal per portion?
2,aa999c11-f8c0-40c5-8239-732339e3cd57,Beginner-friendly focaccia roll recipe using strong white flour and easy-bake dried yeast — is this suitable for a first-time baker?
2,aa999c11-f8c0-40c5-8239-732339e3cd57,"Party antipasti idea: rustic focaccia rolls with sliced roasted peppers and camembert (highly rated, 5 stars) — how to make?"
2,aa999c11-f8c0-40c5-8239-732339e3cd57,Simple 40-minute bread rolls flavored with olive oil and oregano and studded with olives — easy recipe for serving guests?
3,5d49a07d-cc45-492e-bb66-0db776dc2c2b,"Easy cheesy sausage rolls baked in a muffin tin — how to make them with mature cheddar, spring onions and garlic butter?"
3,5d49a07d-cc45-492e-bb66-0db776dc2c2b,Cheesy sausage rolls using cooked bangers and a 500g bread mix — recipe that yields about 8 rolls and takes ~2 hours 10 mins?
3,5d49a07d-cc45-492e-bb66-0db776dc2c2b,Looking for an easy bread-roll recipe with cheddar and spring onions — are there cheesy sausage rolls around 294 kcal per serving?
3,5d49a07d-cc45-492e-bb66-0db776dc2c2b,"Can I use pre-cooked sausages and garlic butter to make cheesy sausage rolls in a muffin tin (easy, highly rated)?"
3,5d49a07d-cc45-492e-bb66-0db776dc2c2b,Cheesy banger rolls with mature cheddar and spring onions — what are the prep and cook times for this easy recipe?
4,30f735f0-cbfe-4884-bc8c-25e0472fb156,Easy Ploughman's rolls recipe with extra-mature cheddar and Brie—ready in about 1 hour?
4,30f735f0-cbfe-4884-bc8c-25e0472fb156,"Lunch idea: Ploughman's-style cheese rolls with apple and poppy seeds, around 250 kcal per roll?"
4,30f735f0-cbfe-4884-bc8c-25e0472fb156,Can I make Ploughman's buns using a 500g pack of bread dough and celery seeds for flavor?
4,30f735f0-cbfe-4884-bc8c-25e0472fb156,How long do Ploughman's rolls take to prep and bake (total ~62 minutes) for an easy recipe?
4,30f735f0-cbfe-4884-bc8c-25e0472fb156,"What goes into Ploughman's rolls with spring onions, celery seeds and a pickle to serve?"
5,a416c6e5-c27d-42cb-9b31-0d1cef0d5356,How do I make easy hedgehog rolls with a 500g brown bread mix for a fun kids' bake in about 35 minutes?
5,a416c6e5-c27d-42cb-9b31-0d1cef0d5356,Mini hedgehog bread rolls with raisins and flaked almonds — what's a simple ingredient list and baking time?
5,a416c6e5-c27d-42cb-9b31-0d1cef0d5356,"How many mini hedgehog rolls does a 500g pack of brown bread mix typically make, and is this recipe beginner-friendly?"
